bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/dwi/sub-20964_ses-1_acq-VARIANTObliquity_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9387277515589109	4	False
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/dwi/sub-20964_ses-1_acq-VARIANTObliquity_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9388974410600148	3	False
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/dwi/sub-20964_ses-1_acq-VARIANTObliquity_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.937882458004827	5	False
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/dwi/sub-20964_ses-1_acq-VARIANTObliquity_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9471166255844615	1	False
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/dwi/sub-20964_ses-1_acq-VARIANTObliquity_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9502526749608686	0	True
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/dwi/sub-20964_ses-1_acq-VARIANTObliquity_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9435286886514224	2	False
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/dwi/sub-20964_ses-1_acq-VARIANTObliquity_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.923852442216911	6	False
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/fmap/sub-20964_ses-1_acq-dwiVARIANTObliquity_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_119/job-13149627-119-sub-20964-ses-1/ds/inputs/data/BIDS/sub-20964/ses-1/fmap/sub-20964_ses-1_acq-dwiVARIANTObliquity_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8374414312154752	7	False
