bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/dwi/sub-20403_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9710975497871294	1	False
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/dwi/sub-20403_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.970974315413451	2	False
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/dwi/sub-20403_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9711092700126337	0	True
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/dwi/sub-20403_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9680453525961162	3	False
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/dwi/sub-20403_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9519136434652278	6	False
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/dwi/sub-20403_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9639424686048456	4	False
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/dwi/sub-20403_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9624571101341671	5	False
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/fmap/sub-20403_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_56/job-13149627-56-sub-20403-ses-1/ds/inputs/data/BIDS/sub-20403/ses-1/fmap/sub-20403_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.9050220571731418	7	False
