bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/dwi/sub-20310_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9660865408057159	0	True
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/dwi/sub-20310_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9654232796374728	1	False
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/dwi/sub-20310_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9606083864591562	2	False
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/dwi/sub-20310_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9558580433748821	4	False
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/dwi/sub-20310_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9496027624281475	6	False
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/dwi/sub-20310_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9538334852835358	5	False
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/dwi/sub-20310_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9568445427022537	3	False
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/fmap/sub-20310_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13185504_19/job-13185504-19-sub-20310-ses-1/ds/inputs/data/BIDS/sub-20310/ses-1/fmap/sub-20310_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8939768500258121	7	False
