bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/dwi/sub-22617_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9609287399755438	6	False
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/dwi/sub-22617_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9639467266679669	5	False
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/dwi/sub-22617_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9668810659174449	3	False
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/dwi/sub-22617_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9683778421324714	1	False
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/dwi/sub-22617_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9691830003079461	0	True
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/dwi/sub-22617_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9642329716302361	4	False
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/dwi/sub-22617_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.967209967649934	2	False
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/fmap/sub-22617_ses-2_acq-dwiVARIANTObliquity_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_208/job-13149627-208-sub-22617-ses-2/ds/inputs/data/BIDS/sub-22617/ses-2/fmap/sub-22617_ses-2_acq-dwiVARIANTObliquity_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8962037590348421	7	False
