bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/dwi/sub-22797_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9513558562206386	2	False
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/dwi/sub-22797_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9550078123869172	0	True
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/dwi/sub-22797_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9417020024364031	3	False
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/dwi/sub-22797_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9232360883750479	6	False
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/dwi/sub-22797_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9384944387333592	5	False
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/dwi/sub-22797_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9389012244783734	4	False
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/dwi/sub-22797_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9528448821621732	1	False
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/fmap/sub-22797_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_218/job-13149627-218-sub-22797-ses-1/ds/inputs/data/BIDS/sub-22797/ses-1/fmap/sub-22797_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8902711525686902	7	False
