bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/dwi/sub-22653_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9315594646453995	1	False
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/dwi/sub-22653_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9338430028741737	0	True
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/dwi/sub-22653_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9142007960669062	5	False
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/dwi/sub-22653_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9150233584698658	4	False
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/dwi/sub-22653_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9188134596649155	2	False
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/dwi/sub-22653_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9130341134854716	6	False
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/dwi/sub-22653_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9178353930463867	3	False
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/fmap/sub-22653_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_211/job-13149627-211-sub-22653-ses-1/ds/inputs/data/BIDS/sub-22653/ses-1/fmap/sub-22653_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8761479588371648	7	False
