bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/dwi/sub-20712_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9532965119609792	5	False
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/dwi/sub-20712_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9568682861039843	4	False
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/dwi/sub-20712_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9590041364543795	0	True
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/dwi/sub-20712_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.957059238787125	2	False
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/dwi/sub-20712_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9580997952865511	1	False
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/dwi/sub-20712_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9457305987460104	6	False
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/dwi/sub-20712_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9568841861681116	3	False
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/fmap/sub-20712_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_75/job-13149627-75-sub-20712-ses-1/ds/inputs/data/BIDS/sub-20712/ses-1/fmap/sub-20712_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8286424855410855	7	False
