bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/dwi/sub-20953_ses-2_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9547251527398862	1	False
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/dwi/sub-20953_ses-2_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9508188010544664	3	False
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/dwi/sub-20953_ses-2_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.945963042727878	6	False
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/dwi/sub-20953_ses-2_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9479627378567198	5	False
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/dwi/sub-20953_ses-2_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9513526088871684	2	False
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/dwi/sub-20953_ses-2_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9494760473598534	4	False
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/dwi/sub-20953_ses-2_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9549837746379101	0	True
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/fmap/sub-20953_ses-2_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_116/job-13149627-116-sub-20953-ses-2/ds/inputs/data/BIDS/sub-20953/ses-2/fmap/sub-20953_ses-2_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8878170536750288	7	False
