bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/dwi/sub-21038_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.8885087386226201	5	False
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/dwi/sub-21038_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.8634400620664665	6	False
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/dwi/sub-21038_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9334059719046456	2	False
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/dwi/sub-21038_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9355605061698081	1	False
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/dwi/sub-21038_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9287003852321405	4	False
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/dwi/sub-21038_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9367302094165464	0	True
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/dwi/sub-21038_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9303250912384489	3	False
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/fmap/sub-21038_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_136/job-13149627-136-sub-21038-ses-1/ds/inputs/data/BIDS/sub-21038/ses-1/fmap/sub-21038_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8510143612667639	7	False
