bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/dwi/sub-22654_ses-2_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.968732096009988	0	True
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/dwi/sub-22654_ses-2_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9666669327812644	4	False
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/dwi/sub-22654_ses-2_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9683795939713918	1	False
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/dwi/sub-22654_ses-2_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9618452071674092	6	False
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/dwi/sub-22654_ses-2_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9645923663430579	5	False
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/dwi/sub-22654_ses-2_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9678026993058896	2	False
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/dwi/sub-22654_ses-2_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9666783002850837	3	False
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/fmap/sub-22654_ses-2_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_214/job-13149627-214-sub-22654-ses-2/ds/inputs/data/BIDS/sub-22654/ses-2/fmap/sub-22654_ses-2_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8912016024833161	7	False
