bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/dwi/sub-21553_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9506517073088735	1	False
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/dwi/sub-21553_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9515477368427969	0	True
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/dwi/sub-21553_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9279320151263887	5	False
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/dwi/sub-21553_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9310691135141623	4	False
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/dwi/sub-21553_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9263893081181716	6	False
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/dwi/sub-21553_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9360600341148	2	False
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/dwi/sub-21553_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9331252080235645	3	False
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/fmap/sub-21553_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_175/job-13149627-175-sub-21553-ses-1/ds/inputs/data/BIDS/sub-21553/ses-1/fmap/sub-21553_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8831909311105143	7	False
