bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/dwi/sub-20902_ses-3_acq-VARIANTObliquity_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9644987408760465	4	False
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/dwi/sub-20902_ses-3_acq-VARIANTObliquity_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9647824350261679	3	False
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/dwi/sub-20902_ses-3_acq-VARIANTObliquity_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9628611884793207	5	False
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/dwi/sub-20902_ses-3_acq-VARIANTObliquity_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9624632359843192	6	False
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/dwi/sub-20902_ses-3_acq-VARIANTObliquity_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9656946772020031	2	False
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/dwi/sub-20902_ses-3_acq-VARIANTObliquity_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9681961004239075	0	True
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/dwi/sub-20902_ses-3_acq-VARIANTObliquity_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9663829947734096	1	False
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/fmap/sub-20902_ses-3_acq-dwiVARIANTObliquity_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13237038_22/job-13237038-22-sub-20902-ses-3/ds/inputs/data/BIDS/sub-20902/ses-3/fmap/sub-20902_ses-3_acq-dwiVARIANTObliquity_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8958336830216166	7	False
