bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/dwi/sub-21146_ses-1_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9624406853291285	5	False
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/dwi/sub-21146_ses-1_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9638104922467964	4	False
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/dwi/sub-21146_ses-1_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9612162841440102	6	False
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/dwi/sub-21146_ses-1_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.9690092157405193	0	True
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/dwi/sub-21146_ses-1_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.9661923106705556	3	False
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/dwi/sub-21146_ses-1_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.9686869754892208	1	False
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/dwi/sub-21146_ses-1_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9666545249861637	2	False
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/fmap/sub-21146_ses-1_acq-dwi_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_154/job-13149627-154-sub-21146-ses-1/ds/inputs/data/BIDS/sub-21146/ses-1/fmap/sub-21146_ses-1_acq-dwi_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.9088292653316977	7	False
