bids_origin_file	original_volume	fsl_spec	qc_score	qc_rank	selected_for_sdc
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/dwi/sub-21623_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	0	0 1 0 0.095910	-0.9387009436923072	3	False
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/dwi/sub-21623_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	1	0 1 0 0.095910	-0.9365306563913032	5	False
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/dwi/sub-21623_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	34	0 1 0 0.095910	-0.9384533589369958	4	False
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/dwi/sub-21623_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	48	0 1 0 0.095910	-0.904772280281148	6	False
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/dwi/sub-21623_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	68	0 1 0 0.095910	-0.952954599681667	0	True
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/dwi/sub-21623_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	88	0 1 0 0.095910	-0.952064917878738	1	False
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/dwi/sub-21623_ses-2_acq-VARIANTObliquity_run-01_dwi.nii.gz	102	0 1 0 0.095910	-0.9506638297663169	2	False
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/fmap/sub-21623_ses-2_acq-dwiVARIANTObliquity_dir-AP_run-01_epi.nii.gz	0	0 -1 0 0.095910		0	True
/scratch/executivefunction/SLURM_13149627_186/job-13149627-186-sub-21623-ses-2/ds/inputs/data/BIDS/sub-21623/ses-2/fmap/sub-21623_ses-2_acq-dwiVARIANTObliquity_dir-PA_run-01_epi.nii.gz	0	0 1 0 0.095910	-0.8744419749413181	7	False
